frame,abstime,reltime,april16_microphoneBoardE_0.seq:Rectangle 1 [C]:max,april16_microphoneBoardE_0.seq:Polygon 1 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 2 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 3 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 4 [C]:max,april16_microphoneBoardE_0.seq:Rectangle 5 [C]:mean
74,2000-02-16 05:54:21.058000,11.681000,2.547251e+01,2.678013e+01,2.655883e+01,2.620918e+01,2.556064e+01,2.446000e+01
75,2000-02-16 05:54:21.218000,11.841000,2.542502e+01,2.672652e+01,2.667289e+01,2.620918e+01,2.558097e+01,2.446380e+01
76,2000-02-16 05:54:21.378000,12.001000,2.541823e+01,2.671982e+01,2.665948e+01,2.622939e+01,2.559451e+01,2.448693e+01
77,2000-02-16 05:54:21.538000,12.161000,2.552675e+01,2.669300e+01,2.659239e+01,2.628324e+01,2.574344e+01,2.451095e+01
78,2000-02-16 05:54:21.698000,12.321000,2.547251e+01,2.683371e+01,2.672652e+01,2.620918e+01,2.571638e+01,2.452195e+01
79,2000-02-16 05:54:21.858000,12.481000,2.551997e+01,2.673322e+01,2.660581e+01,2.626978e+01,2.560806e+01,2.452895e+01
80,2000-02-16 05:54:22.018000,12.641000,2.553353e+01,2.674663e+01,2.670641e+01,2.637070e+01,2.562161e+01,2.453351e+01
81,2000-02-16 05:54:22.178000,12.801000,2.556741e+01,2.673322e+01,2.678683e+01,2.630343e+01,2.560129e+01,2.454555e+01
82,2000-02-16 05:54:22.338000,12.961000,2.562161e+01,2.681362e+01,2.671982e+01,2.629670e+01,2.560806e+01,2.455634e+01
83,2000-02-16 05:54:22.498000,13.121000,2.567577e+01,2.684710e+01,2.669300e+01,2.636398e+01,2.559451e+01,2.457408e+01
84,2000-02-16 05:54:22.658000,13.281000,2.560806e+01,2.682031e+01,2.682701e+01,2.628997e+01,2.562838e+01,2.458901e+01
85,2000-02-16 05:54:22.818000,13.441000,2.564192e+01,2.679352e+01,2.671312e+01,2.629670e+01,2.572315e+01,2.459566e+01
86,2000-02-16 05:54:22.978000,13.601000,2.564192e+01,2.679352e+01,2.671982e+01,2.643121e+01,2.566900e+01,2.460368e+01
87,2000-02-16 05:54:23.138000,13.761000,2.561483e+01,2.679352e+01,2.678013e+01,2.645137e+01,2.566900e+01,2.461065e+01
88,2000-02-16 05:54:23.298000,13.921000,2.570961e+01,2.675333e+01,2.669971e+01,2.638415e+01,2.567577e+01,2.461403e+01
89,2000-02-16 05:54:23.458000,14.081000,2.566224e+01,2.682031e+01,2.677343e+01,2.635725e+01,2.574344e+01,2.462103e+01
90,2000-02-16 05:54:23.618000,14.241000,2.564869e+01,2.682031e+01,2.675333e+01,2.637743e+01,2.569608e+01,2.463904e+01
91,2000-02-16 05:54:23.778000,14.401000,2.564869e+01,2.681362e+01,2.676673e+01,2.644465e+01,2.564869e+01,2.464684e+01
92,2000-02-16 05:54:23.938000,14.561000,2.576373e+01,2.679352e+01,2.675333e+01,2.643793e+01,2.571638e+01,2.465190e+01
93,2000-02-16 05:54:24.098000,14.721000,2.571638e+01,2.688056e+01,2.680692e+01,2.643793e+01,2.566224e+01,2.465296e+01
94,2000-02-16 05:54:24.258000,14.881000,2.572315e+01,2.680022e+01,2.688056e+01,2.645809e+01,2.570961e+01,2.465997e+01
95,2000-02-16 05:54:24.418000,15.041000,2.578402e+01,2.683371e+01,2.682701e+01,2.639760e+01,2.566224e+01,2.466916e+01
96,2000-02-16 05:54:24.578000,15.201000,2.581783e+01,2.684710e+01,2.684710e+01,2.643121e+01,2.574344e+01,2.467610e+01
97,2000-02-16 05:54:24.738000,15.361000,2.578402e+01,2.682031e+01,2.688726e+01,2.650511e+01,2.574344e+01,2.468179e+01
98,2000-02-16 05:54:24.898000,15.521000,2.572315e+01,2.682701e+01,2.686718e+01,2.645137e+01,2.570961e+01,2.468372e+01
99,2000-02-16 05:54:25.058000,15.681000,2.583811e+01,2.688056e+01,2.686049e+01,2.663935e+01,2.568254e+01,2.469010e+01
100,2000-02-16 05:54:25.218000,15.841000,2.581107e+01,2.684710e+01,2.700097e+01,2.648496e+01,2.566900e+01,2.469833e+01
101,2000-02-16 05:54:25.378000,16.001000,2.577050e+01,2.686049e+01,2.684710e+01,2.647824e+01,2.565546e+01,2.470439e+01
102,2000-02-16 05:54:25.538000,16.161000,2.583811e+01,2.694747e+01,2.688056e+01,2.651855e+01,2.568931e+01,2.471349e+01
103,2000-02-16 05:54:25.698000,16.321000,2.585162e+01,2.695416e+01,2.693409e+01,2.653869e+01,2.567577e+01,2.472522e+01
104,2000-02-16 05:54:25.858000,16.481000,2.577050e+01,2.692740e+01,2.698759e+01,2.653869e+01,2.570285e+01,2.473399e+01
105,2000-02-16 05:54:26.018000,16.641000,2.583811e+01,2.693409e+01,2.700097e+01,2.652526e+01,2.568931e+01,2.473819e+01
106,2000-02-16 05:54:26.178000,16.801000,2.588541e+01,2.691402e+01,2.696753e+01,2.657226e+01,2.570285e+01,2.474569e+01
107,2000-02-16 05:54:26.338000,16.961000,2.586514e+01,2.690064e+01,2.695416e+01,2.654540e+01,2.570285e+01,2.474913e+01
108,2000-02-16 05:54:26.498000,17.121000,2.591243e+01,2.694747e+01,2.699428e+01,2.651183e+01,2.574344e+01,2.474759e+01
109,2000-02-16 05:54:26.658000,17.281000,2.589216e+01,2.692740e+01,2.696085e+01,2.663265e+01,2.568254e+01,2.475425e+01
110,2000-02-16 05:54:26.818000,17.441000,2.585162e+01,2.690064e+01,2.702102e+01,2.663935e+01,2.572991e+01,2.476842e+01
