frame,abstime,reltime,april15_microphoneBoardC_0.seq:Rectangle 1 [C]:max,april15_microphoneBoardC_0.seq:Polygon 1 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 2 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 3 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 4 [C]:max,april15_microphoneBoardC_0.seq:Rectangle 5 [C]:mean
165,2000-02-14 21:25:56.346000,26.240000,2.612159e+01,2.711455e+01,2.716796e+01,2.663935e+01,2.486716e+01,2.466644e+01
166,2000-02-14 21:25:56.506000,26.400000,2.612159e+01,2.691402e+01,2.719466e+01,2.665948e+01,2.489444e+01,2.466718e+01
167,2000-02-14 21:25:56.666000,26.560000,2.610811e+01,2.694078e+01,2.720133e+01,2.657897e+01,2.491490e+01,2.467702e+01
168,2000-02-14 21:25:56.826000,26.720000,2.609463e+01,2.693409e+01,2.718798e+01,2.660581e+01,2.487398e+01,2.467578e+01
169,2000-02-14 21:25:56.986000,26.880000,2.612159e+01,2.698091e+01,2.721468e+01,2.660581e+01,2.486034e+01,2.467913e+01
170,2000-02-14 21:25:57.146000,27.040000,2.616203e+01,2.695416e+01,2.722135e+01,2.657226e+01,2.483987e+01,2.466977e+01
171,2000-02-14 21:25:57.306000,27.200000,2.607440e+01,2.695416e+01,2.730137e+01,2.655212e+01,2.489444e+01,2.464598e+01
172,2000-02-14 21:25:57.466000,27.360000,2.611485e+01,2.692071e+01,2.718798e+01,2.657226e+01,2.482622e+01,2.463912e+01
173,2000-02-14 21:25:57.626000,27.520000,2.620245e+01,2.694747e+01,2.718798e+01,2.663265e+01,2.481257e+01,2.465241e+01
174,2000-02-14 21:25:57.786000,27.680000,2.618224e+01,2.696085e+01,2.736802e+01,2.662594e+01,2.490808e+01,2.465374e+01
175,2000-02-14 21:25:57.946000,27.840000,2.616877e+01,2.698759e+01,2.719466e+01,2.661252e+01,2.483987e+01,2.465042e+01
176,2000-02-14 21:25:58.106000,28.000000,2.617550e+01,2.690064e+01,2.718798e+01,2.661252e+01,2.483987e+01,2.465205e+01
