frame,abstime,reltime,april10_baselineBoardC_3.seq:Rectangle 1 [C]:max,april10_baselineBoardC_3.seq:Polygon 1 [C]:max,april10_baselineBoardC_3.seq:Rectangle 2 [C]:max,april10_baselineBoardC_3.seq:Rectangle 3 [C]:max,april10_baselineBoardC_3.seq:Rectangle 4 [C]:max,april10_baselineBoardC_3.seq:Rectangle 5 [C]:mean
66,2000-02-10 06:31:52.718000,10.401000,2.522127e+01,2.670641e+01,2.631689e+01,2.581783e+01,2.450500e+01,2.415486e+01
67,2000-02-10 06:31:52.878000,10.561000,2.538430e+01,2.664606e+01,2.641776e+01,2.585162e+01,2.447762e+01,2.418508e+01
68,2000-02-10 06:31:53.038000,10.721000,2.533677e+01,2.675333e+01,2.634380e+01,2.589892e+01,2.451869e+01,2.421243e+01
69,2000-02-10 06:31:53.198000,10.881000,2.536394e+01,2.688056e+01,2.639760e+01,2.587189e+01,2.449131e+01,2.422737e+01
70,2000-02-10 06:31:53.358000,11.041000,2.540466e+01,2.671312e+01,2.640432e+01,2.591243e+01,2.443653e+01,2.424043e+01
71,2000-02-10 06:31:53.518000,11.201000,2.538430e+01,2.683371e+01,2.647153e+01,2.593944e+01,2.455975e+01,2.425194e+01
72,2000-02-10 06:31:53.678000,11.361000,2.540466e+01,2.688056e+01,2.644465e+01,2.593944e+01,2.447762e+01,2.426164e+01
73,2000-02-10 06:31:53.838000,11.521000,2.540466e+01,2.678683e+01,2.647824e+01,2.598669e+01,2.455291e+01,2.427615e+01
74,2000-02-10 06:31:53.998000,11.681000,2.542502e+01,2.692071e+01,2.646481e+01,2.597994e+01,2.471015e+01,2.428862e+01
75,2000-02-10 06:31:54.158000,11.841000,2.542502e+01,2.695416e+01,2.644465e+01,2.596644e+01,2.455975e+01,2.429907e+01
76,2000-02-10 06:31:54.318000,12.001000,2.545216e+01,2.696753e+01,2.654540e+01,2.606091e+01,2.453922e+01,2.430682e+01
77,2000-02-10 06:31:54.478000,12.161000,2.547251e+01,2.686049e+01,2.649168e+01,2.595969e+01,2.461447e+01,2.432171e+01
