frame,abstime,reltime,april3_microphoneBoardD_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardD_4.seq:Polygon 1 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardD_4.seq:Rectangle 5 [C]:mean
100,2000-02-03 08:01:32.639000,15.841000,2.641104e+01,2.708784e+01,2.725470e+01,2.685379e+01,2.574344e+01,2.504770e+01
101,2000-02-03 08:01:32.799000,16.001000,2.645137e+01,2.719466e+01,2.728137e+01,2.686049e+01,2.579755e+01,2.506260e+01
102,2000-02-03 08:01:32.959000,16.161000,2.650511e+01,2.703439e+01,2.731470e+01,2.684040e+01,2.585162e+01,2.507172e+01
103,2000-02-03 08:01:33.119000,16.321000,2.648496e+01,2.704775e+01,2.731470e+01,2.688726e+01,2.581107e+01,2.508361e+01
104,2000-02-03 08:01:33.279000,16.481000,2.646481e+01,2.712791e+01,2.729471e+01,2.690733e+01,2.584487e+01,2.509093e+01
105,2000-02-03 08:01:33.439000,16.641000,2.646481e+01,2.707448e+01,2.728804e+01,2.689395e+01,2.583135e+01,2.509659e+01
106,2000-02-03 08:01:33.599000,16.801000,2.653869e+01,2.712123e+01,2.733470e+01,2.692740e+01,2.580431e+01,2.510093e+01
107,2000-02-03 08:01:33.759000,16.961000,2.652526e+01,2.719466e+01,2.734136e+01,2.682031e+01,2.584487e+01,2.510077e+01
108,2000-02-03 08:01:33.919000,17.121000,2.655212e+01,2.707448e+01,2.733470e+01,2.685379e+01,2.577050e+01,2.510318e+01
109,2000-02-03 08:01:34.079000,17.281000,2.657897e+01,2.714794e+01,2.737468e+01,2.687387e+01,2.588541e+01,2.509652e+01
110,2000-02-03 08:01:34.239000,17.441000,2.663935e+01,2.714794e+01,2.732137e+01,2.694747e+01,2.585838e+01,2.509240e+01
111,2000-02-03 08:01:34.399000,17.601000,2.647153e+01,2.704107e+01,2.740132e+01,2.694078e+01,2.578402e+01,2.509725e+01
112,2000-02-03 08:01:34.559000,17.761000,2.649168e+01,2.704107e+01,2.755440e+01,2.688726e+01,2.585162e+01,2.510891e+01
113,2000-02-03 08:01:34.719000,17.921000,2.664606e+01,2.708784e+01,2.743462e+01,2.691402e+01,2.579078e+01,2.510916e+01
114,2000-02-03 08:01:34.879000,18.081000,2.652526e+01,2.705443e+01,2.740132e+01,2.689395e+01,2.587189e+01,2.512053e+01
115,2000-02-03 08:01:35.039000,18.241000,2.657897e+01,2.707448e+01,2.742796e+01,2.686049e+01,2.581107e+01,2.512439e+01
116,2000-02-03 08:01:35.199000,18.401000,2.663265e+01,2.710787e+01,2.742796e+01,2.689395e+01,2.581783e+01,2.513064e+01
117,2000-02-03 08:01:35.359000,18.561000,2.667959e+01,2.710787e+01,2.745459e+01,2.698759e+01,2.585162e+01,2.516574e+01
118,2000-02-03 08:01:35.519000,18.721000,2.673322e+01,2.719466e+01,2.745459e+01,2.704107e+01,2.587189e+01,2.518249e+01
119,2000-02-03 08:01:35.679000,18.881000,2.678683e+01,2.724136e+01,2.750783e+01,2.704107e+01,2.589216e+01,2.519565e+01
120,2000-02-03 08:01:35.839000,19.041000,2.670641e+01,2.716796e+01,2.750118e+01,2.704775e+01,2.591918e+01,2.520503e+01
121,2000-02-03 08:01:36.001000,19.203000,2.673322e+01,2.719466e+01,2.752114e+01,2.703439e+01,2.590567e+01,2.520774e+01
122,2000-02-03 08:01:36.161000,19.363000,2.667289e+01,2.728137e+01,2.750118e+01,2.708116e+01,2.588541e+01,2.520863e+01
123,2000-02-03 08:01:36.321000,19.523000,2.669971e+01,2.712123e+01,2.751449e+01,2.702770e+01,2.593944e+01,2.521367e+01
124,2000-02-03 08:01:36.481000,19.683000,2.671312e+01,2.716796e+01,2.752114e+01,2.702102e+01,2.587865e+01,2.522515e+01
125,2000-02-03 08:01:36.641000,19.843000,2.663935e+01,2.722135e+01,2.758100e+01,2.707448e+01,2.591918e+01,2.523455e+01
126,2000-02-03 08:01:36.801000,20.003000,2.673322e+01,2.716796e+01,2.757435e+01,2.710787e+01,2.594619e+01,2.523864e+01
127,2000-02-03 08:01:36.961000,20.163000,2.684710e+01,2.720800e+01,2.756105e+01,2.704775e+01,2.589892e+01,2.524339e+01
128,2000-02-03 08:01:37.121000,20.323000,2.680022e+01,2.722135e+01,2.752114e+01,2.702770e+01,2.593944e+01,2.525182e+01
129,2000-02-03 08:01:37.281000,20.483000,2.680692e+01,2.728804e+01,2.754110e+01,2.704107e+01,2.593269e+01,2.525651e+01
130,2000-02-03 08:01:37.441000,20.643000,2.679352e+01,2.738134e+01,2.756105e+01,2.707448e+01,2.595294e+01,2.525714e+01
131,2000-02-03 08:01:37.601000,20.803000,2.670641e+01,2.723469e+01,2.764747e+01,2.723469e+01,2.589216e+01,2.526308e+01
132,2000-02-03 08:01:37.761000,20.963000,2.681362e+01,2.728137e+01,2.756105e+01,2.710119e+01,2.593944e+01,2.526542e+01
133,2000-02-03 08:01:37.921000,21.123000,2.678683e+01,2.734136e+01,2.763418e+01,2.704107e+01,2.597319e+01,2.527427e+01
134,2000-02-03 08:01:38.081000,21.283000,2.676003e+01,2.728137e+01,2.767404e+01,2.708116e+01,2.591243e+01,2.527701e+01
135,2000-02-03 08:01:38.241000,21.443000,2.671982e+01,2.731470e+01,2.771390e+01,2.721468e+01,2.592593e+01,2.528193e+01
136,2000-02-03 08:01:38.401000,21.603000,2.677343e+01,2.729471e+01,2.764082e+01,2.715461e+01,2.593944e+01,2.528899e+01
137,2000-02-03 08:01:38.561000,21.763000,2.689395e+01,2.728137e+01,2.761424e+01,2.713458e+01,2.596644e+01,2.529461e+01
138,2000-02-03 08:01:38.721000,21.923000,2.682031e+01,2.732804e+01,2.764747e+01,2.716129e+01,2.592593e+01,2.529788e+01
139,2000-02-03 08:01:38.881000,22.083000,2.678683e+01,2.728137e+01,2.767404e+01,2.714794e+01,2.592593e+01,2.530033e+01
140,2000-02-03 08:01:39.041000,22.243000,2.682031e+01,2.724803e+01,2.758100e+01,2.713458e+01,2.591918e+01,2.530643e+01
141,2000-02-03 08:01:39.201000,22.403000,2.676673e+01,2.726804e+01,2.768069e+01,2.710119e+01,2.597994e+01,2.531069e+01
142,2000-02-03 08:01:39.361000,22.563000,2.676673e+01,2.732137e+01,2.773382e+01,2.720800e+01,2.591918e+01,2.532113e+01
143,2000-02-03 08:01:39.521000,22.723000,2.680692e+01,2.734803e+01,2.762753e+01,2.716796e+01,2.597994e+01,2.533072e+01
144,2000-02-03 08:01:39.681000,22.883000,2.685379e+01,2.730137e+01,2.762753e+01,2.718798e+01,2.595294e+01,2.533403e+01
145,2000-02-03 08:01:39.841000,23.043000,2.682701e+01,2.734136e+01,2.767404e+01,2.716129e+01,2.602044e+01,2.534412e+01
146,2000-02-03 08:01:40.001000,23.203000,2.682701e+01,2.738800e+01,2.761424e+01,2.718798e+01,2.610137e+01,2.535137e+01
147,2000-02-03 08:01:40.161000,23.363000,2.687387e+01,2.733470e+01,2.766740e+01,2.720133e+01,2.606091e+01,2.535786e+01
148,2000-02-03 08:01:40.321000,23.523000,2.690064e+01,2.739466e+01,2.766076e+01,2.724136e+01,2.598669e+01,2.536481e+01
149,2000-02-03 08:01:40.481000,23.683000,2.686049e+01,2.735469e+01,2.776037e+01,2.720133e+01,2.602718e+01,2.536769e+01
150,2000-02-03 08:01:40.641000,23.843000,2.690064e+01,2.738800e+01,2.770725e+01,2.722135e+01,2.602044e+01,2.537583e+01
151,2000-02-03 08:01:40.801000,24.003000,2.695416e+01,2.741464e+01,2.769397e+01,2.724803e+01,2.604067e+01,2.538623e+01
152,2000-02-03 08:01:40.961000,24.163000,2.694747e+01,2.746125e+01,2.776037e+01,2.735469e+01,2.603393e+01,2.538758e+01
153,2000-02-03 08:01:41.122000,24.324000,2.702102e+01,2.746125e+01,2.781346e+01,2.724803e+01,2.604067e+01,2.538971e+01
154,2000-02-03 08:01:41.281000,24.483000,2.698759e+01,2.739466e+01,2.776701e+01,2.720133e+01,2.603393e+01,2.539381e+01
155,2000-02-03 08:01:41.441000,24.643000,2.705443e+01,2.735469e+01,2.780683e+01,2.730804e+01,2.600694e+01,2.539377e+01
156,2000-02-03 08:01:41.602000,24.804000,2.695416e+01,2.738800e+01,2.785326e+01,2.724136e+01,2.594619e+01,2.539304e+01
157,2000-02-03 08:01:41.761000,24.963000,2.693409e+01,2.748787e+01,2.783336e+01,2.725470e+01,2.601369e+01,2.539655e+01
158,2000-02-03 08:01:41.921000,25.123000,2.702770e+01,2.741464e+01,2.774709e+01,2.726804e+01,2.604742e+01,2.540552e+01
159,2000-02-03 08:01:42.082000,25.284000,2.704775e+01,2.740132e+01,2.784663e+01,2.728804e+01,2.596644e+01,2.540824e+01
160,2000-02-03 08:01:42.242000,25.444000,2.700765e+01,2.754110e+01,2.785326e+01,2.730804e+01,2.610811e+01,2.543967e+01
161,2000-02-03 08:01:42.402000,25.604000,2.715461e+01,2.744793e+01,2.787316e+01,2.734803e+01,2.607440e+01,2.544676e+01
162,2000-02-03 08:01:42.562000,25.764000,2.703439e+01,2.742796e+01,2.789305e+01,2.731470e+01,2.605416e+01,2.544961e+01
163,2000-02-03 08:01:42.722000,25.924000,2.709451e+01,2.750118e+01,2.789305e+01,2.730137e+01,2.609463e+01,2.545466e+01
164,2000-02-03 08:01:42.882000,26.084000,2.701433e+01,2.749452e+01,2.792619e+01,2.736135e+01,2.609463e+01,2.545872e+01
165,2000-02-03 08:01:43.042000,26.244000,2.698091e+01,2.742130e+01,2.784663e+01,2.733470e+01,2.608788e+01,2.545554e+01
166,2000-02-03 08:01:43.202000,26.404000,2.692740e+01,2.754110e+01,2.782010e+01,2.732137e+01,2.616203e+01,2.546547e+01
167,2000-02-03 08:01:43.362000,26.564000,2.715461e+01,2.758100e+01,2.776037e+01,2.738134e+01,2.614181e+01,2.546959e+01
168,2000-02-03 08:01:43.522000,26.724000,2.712791e+01,2.760094e+01,2.791294e+01,2.732137e+01,2.610137e+01,2.548472e+01
169,2000-02-03 08:01:43.682000,26.884000,2.706779e+01,2.749452e+01,2.790631e+01,2.736135e+01,2.612833e+01,2.548216e+01
