frame,abstime,reltime,april3_baselineBoardD_4.seq:Rectangle 1 [C]:max,april3_baselineBoardD_4.seq:Polygon 1 [C]:max,april3_baselineBoardD_4.seq:Rectangle 2 [C]:max,april3_baselineBoardD_4.seq:Rectangle 3 [C]:max,april3_baselineBoardD_4.seq:Rectangle 4 [C]:max,april3_baselineBoardD_4.seq:Rectangle 5 [C]:mean
165,2000-02-03 07:02:26.002000,26.243000,2.676003e+01,2.796595e+01,2.749452e+01,2.692071e+01,2.549963e+01,2.522261e+01
166,2000-02-03 07:02:26.162000,26.403000,2.667289e+01,2.785989e+01,2.747456e+01,2.696085e+01,2.555386e+01,2.522152e+01
167,2000-02-03 07:02:26.322000,26.563000,2.678683e+01,2.791956e+01,2.754110e+01,2.710119e+01,2.559451e+01,2.526890e+01
168,2000-02-03 07:02:26.482000,26.723000,2.688056e+01,2.793282e+01,2.748787e+01,2.707448e+01,2.560129e+01,2.528998e+01
169,2000-02-03 07:02:26.642000,26.883000,2.678683e+01,2.794607e+01,2.755440e+01,2.697422e+01,2.569608e+01,2.528771e+01
170,2000-02-03 07:02:26.802000,27.043000,2.695416e+01,2.798582e+01,2.750118e+01,2.707448e+01,2.568931e+01,2.528961e+01
171,2000-02-03 07:02:26.962000,27.203000,2.686049e+01,2.794607e+01,2.753444e+01,2.716129e+01,2.561483e+01,2.529095e+01
172,2000-02-03 07:02:27.122000,27.363000,2.690733e+01,2.797920e+01,2.752114e+01,2.710787e+01,2.558774e+01,2.529939e+01
173,2000-02-03 07:02:27.282000,27.523000,2.686049e+01,2.799245e+01,2.755440e+01,2.706779e+01,2.564192e+01,2.530205e+01
174,2000-02-03 07:02:27.442000,27.683000,2.686049e+01,2.798582e+01,2.757435e+01,2.723469e+01,2.561483e+01,2.531055e+01
175,2000-02-03 07:02:27.602000,27.843000,2.691402e+01,2.805204e+01,2.758765e+01,2.718798e+01,2.564869e+01,2.531841e+01
176,2000-02-03 07:02:27.762000,28.003000,2.684040e+01,2.808514e+01,2.764082e+01,2.711455e+01,2.564869e+01,2.532708e+01
177,2000-02-03 07:02:27.922000,28.163000,2.701433e+01,2.804542e+01,2.760759e+01,2.715461e+01,2.567577e+01,2.532909e+01
178,2000-02-03 07:02:28.082000,28.323000,2.697422e+01,2.808514e+01,2.758765e+01,2.722135e+01,2.571638e+01,2.533176e+01
179,2000-02-03 07:02:28.242000,28.483000,2.698091e+01,2.808514e+01,2.756105e+01,2.723469e+01,2.567577e+01,2.534232e+01
