frame,abstime,reltime,april10_baselineBoardB_3.seq:Rectangle 1 [C]:max,april10_baselineBoardB_3.seq:Polygon 1 [C]:max,april10_baselineBoardB_3.seq:Rectangle 2 [C]:max,april10_baselineBoardB_3.seq:Rectangle 3 [C]:max,april10_baselineBoardB_3.seq:Rectangle 4 [C]:max,april10_baselineBoardB_3.seq:Rectangle 5 [C]:mean
72,2000-02-10 05:51:25.934000,11.361000,2.537072e+01,2.678683e+01,2.636398e+01,2.577050e+01,2.490126e+01,2.426268e+01
73,2000-02-10 05:51:26.094000,11.521000,2.534357e+01,2.686718e+01,2.639760e+01,2.575697e+01,2.486716e+01,2.427237e+01
74,2000-02-10 05:51:26.254000,11.681000,2.538430e+01,2.678683e+01,2.646481e+01,2.583135e+01,2.492853e+01,2.428849e+01
75,2000-02-10 05:51:26.414000,11.841000,2.538430e+01,2.680022e+01,2.647153e+01,2.586514e+01,2.499668e+01,2.429845e+01
76,2000-02-10 05:51:26.574000,12.001000,2.537072e+01,2.680692e+01,2.652526e+01,2.583135e+01,2.490808e+01,2.431828e+01
77,2000-02-10 05:51:26.734000,12.161000,2.538430e+01,2.692071e+01,2.644465e+01,2.587189e+01,2.495580e+01,2.433045e+01
78,2000-02-10 05:51:26.894000,12.321000,2.535715e+01,2.696085e+01,2.650511e+01,2.593269e+01,2.499668e+01,2.433632e+01
79,2000-02-10 05:51:27.054000,12.481000,2.539788e+01,2.690064e+01,2.649168e+01,2.583135e+01,2.492853e+01,2.433931e+01
80,2000-02-10 05:51:27.214000,12.641000,2.539788e+01,2.684040e+01,2.651855e+01,2.586514e+01,2.490808e+01,2.435165e+01
81,2000-02-10 05:51:27.374000,12.801000,2.547251e+01,2.698091e+01,2.654540e+01,2.593269e+01,2.487398e+01,2.435734e+01
82,2000-02-10 05:51:27.534000,12.961000,2.543180e+01,2.691402e+01,2.651855e+01,2.600694e+01,2.500350e+01,2.437075e+01
83,2000-02-10 05:51:27.694000,13.121000,2.553353e+01,2.693409e+01,2.647824e+01,2.589216e+01,2.496261e+01,2.437281e+01
84,2000-02-10 05:51:27.854000,13.281000,2.541145e+01,2.696085e+01,2.649168e+01,2.595294e+01,2.498306e+01,2.438085e+01
85,2000-02-10 05:51:28.014000,13.441000,2.554031e+01,2.698759e+01,2.660581e+01,2.590567e+01,2.503755e+01,2.439211e+01
86,2000-02-10 05:51:28.174000,13.601000,2.548607e+01,2.695416e+01,2.673993e+01,2.593269e+01,2.501031e+01,2.439275e+01
87,2000-02-10 05:51:28.334000,13.761000,2.551997e+01,2.692071e+01,2.655212e+01,2.601369e+01,2.496261e+01,2.440144e+01
