frame,abstime,reltime,april10_baselineBoardA_3.seq:Rectangle 1 [C]:max,april10_baselineBoardA_3.seq:Polygon 1 [C]:max,april10_baselineBoardA_3.seq:Rectangle 2 [C]:max,april10_baselineBoardA_3.seq:Rectangle 3 [C]:max,april10_baselineBoardA_3.seq:Rectangle 4 [C]:max,april10_baselineBoardA_3.seq:Rectangle 5 [C]:mean
95,2000-02-10 05:14:43.091000,15.040000,2.541145e+01,2.692740e+01,2.638415e+01,2.589216e+01,2.461447e+01,2.418329e+01
96,2000-02-10 05:14:43.251000,15.200000,2.543859e+01,2.692071e+01,2.634380e+01,2.595969e+01,2.451185e+01,2.418998e+01
97,2000-02-10 05:14:43.411000,15.360000,2.544537e+01,2.696753e+01,2.635052e+01,2.588541e+01,2.451869e+01,2.420501e+01
98,2000-02-10 05:14:43.571000,15.520000,2.550641e+01,2.695416e+01,2.635725e+01,2.591918e+01,2.454607e+01,2.421162e+01
99,2000-02-10 05:14:43.731000,15.680000,2.545216e+01,2.694747e+01,2.640432e+01,2.595969e+01,2.452554e+01,2.421662e+01
100,2000-02-10 05:14:43.891000,15.840000,2.548607e+01,2.692740e+01,2.639087e+01,2.593944e+01,2.464181e+01,2.421842e+01
101,2000-02-10 05:14:44.051000,16.000000,2.556064e+01,2.704775e+01,2.656554e+01,2.593944e+01,2.453922e+01,2.423881e+01
102,2000-02-10 05:14:44.211000,16.160000,2.548607e+01,2.692740e+01,2.645809e+01,2.596644e+01,2.453922e+01,2.423633e+01
103,2000-02-10 05:14:44.371000,16.320000,2.547929e+01,2.694078e+01,2.652526e+01,2.597319e+01,2.461447e+01,2.424695e+01
104,2000-02-10 05:14:44.531000,16.480000,2.554031e+01,2.700765e+01,2.649168e+01,2.598669e+01,2.453238e+01,2.425414e+01
105,2000-02-10 05:14:44.691000,16.640000,2.560129e+01,2.698091e+01,2.643121e+01,2.601369e+01,2.461447e+01,2.426450e+01
106,2000-02-10 05:14:44.851000,16.800000,2.553353e+01,2.698091e+01,2.645809e+01,2.607440e+01,2.454607e+01,2.427204e+01
107,2000-02-10 05:14:45.011000,16.960000,2.560129e+01,2.696085e+01,2.642449e+01,2.606091e+01,2.458711e+01,2.427508e+01
108,2000-02-10 05:14:45.171000,17.120000,2.552675e+01,2.691402e+01,2.637070e+01,2.599344e+01,2.458711e+01,2.420913e+01
109,2000-02-10 05:14:45.331000,17.280000,2.549963e+01,2.691402e+01,2.641776e+01,2.595294e+01,2.451869e+01,2.420470e+01
110,2000-02-10 05:14:45.491000,17.440000,2.545894e+01,2.693409e+01,2.639760e+01,2.595294e+01,2.458027e+01,2.421101e+01
111,2000-02-10 05:14:45.651000,17.600000,2.557419e+01,2.696753e+01,2.638415e+01,2.602044e+01,2.454607e+01,2.422038e+01
112,2000-02-10 05:14:45.811000,17.760000,2.555386e+01,2.694747e+01,2.643121e+01,2.597319e+01,2.449131e+01,2.422086e+01
