frame,abstime,reltime,april3_microphoneBoardA_4.seq:Rectangle 1 [C]:max,april3_microphoneBoardA_4.seq:Polygon 1 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 2 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 3 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 4 [C]:max,april3_microphoneBoardA_4.seq:Rectangle 5 [C]:mean
111,2000-02-03 07:31:24.410000,17.602000,2.616203e+01,2.661252e+01,2.680692e+01,2.636398e+01,2.539109e+01,2.473987e+01
112,2000-02-03 07:31:24.570000,17.762000,2.622265e+01,2.661923e+01,2.682031e+01,2.639760e+01,2.535715e+01,2.474472e+01
113,2000-02-03 07:31:24.730000,17.922000,2.619571e+01,2.655883e+01,2.682031e+01,2.641776e+01,2.544537e+01,2.475030e+01
114,2000-02-03 07:31:24.890000,18.082000,2.614855e+01,2.656554e+01,2.679352e+01,2.643793e+01,2.526884e+01,2.475426e+01
115,2000-02-03 07:31:25.050000,18.242000,2.615529e+01,2.658568e+01,2.685379e+01,2.644465e+01,2.547251e+01,2.475990e+01
116,2000-02-03 07:31:25.210000,18.402000,2.618224e+01,2.659910e+01,2.689395e+01,2.641776e+01,2.543180e+01,2.476335e+01
117,2000-02-03 07:31:25.370000,18.562000,2.614181e+01,2.661252e+01,2.690064e+01,2.648496e+01,2.535715e+01,2.474146e+01
118,2000-02-03 07:31:25.530000,18.722000,2.616203e+01,2.651855e+01,2.684710e+01,2.640432e+01,2.528243e+01,2.474318e+01
119,2000-02-03 07:31:25.690000,18.882000,2.616877e+01,2.653869e+01,2.696753e+01,2.644465e+01,2.539788e+01,2.475230e+01
120,2000-02-03 07:31:25.850000,19.042000,2.618898e+01,2.657897e+01,2.688056e+01,2.645809e+01,2.535036e+01,2.475976e+01
121,2000-02-03 07:31:26.010000,19.202000,2.618898e+01,2.657226e+01,2.688056e+01,2.651183e+01,2.541823e+01,2.477044e+01
122,2000-02-03 07:31:26.170000,19.362000,2.623612e+01,2.656554e+01,2.684710e+01,2.645137e+01,2.543859e+01,2.477573e+01
123,2000-02-03 07:31:26.330000,19.522000,2.626978e+01,2.658568e+01,2.684040e+01,2.650511e+01,2.545894e+01,2.477598e+01
124,2000-02-03 07:31:26.490000,19.682000,2.622939e+01,2.665948e+01,2.688726e+01,2.651183e+01,2.547251e+01,2.478443e+01
125,2000-02-03 07:31:26.650000,19.842000,2.623612e+01,2.661252e+01,2.694747e+01,2.649840e+01,2.541823e+01,2.478481e+01
126,2000-02-03 07:31:26.811000,20.003000,2.622939e+01,2.671312e+01,2.687387e+01,2.651855e+01,2.535715e+01,2.478929e+01
127,2000-02-03 07:31:26.971000,20.163000,2.626305e+01,2.662594e+01,2.692071e+01,2.664606e+01,2.542502e+01,2.480098e+01
128,2000-02-03 07:31:27.131000,20.323000,2.623612e+01,2.669300e+01,2.692740e+01,2.654540e+01,2.540466e+01,2.480568e+01
129,2000-02-03 07:31:27.291000,20.483000,2.622265e+01,2.665948e+01,2.697422e+01,2.652526e+01,2.537751e+01,2.481254e+01
130,2000-02-03 07:31:27.451000,20.643000,2.633035e+01,2.678683e+01,2.700765e+01,2.655883e+01,2.532998e+01,2.487292e+01
131,2000-02-03 07:31:27.611000,20.803000,2.631016e+01,2.669971e+01,2.704107e+01,2.660581e+01,2.543180e+01,2.488429e+01
132,2000-02-03 07:31:27.771000,20.963000,2.634380e+01,2.674663e+01,2.708116e+01,2.667959e+01,2.543859e+01,2.489854e+01
133,2000-02-03 07:31:27.931000,21.123000,2.640432e+01,2.673322e+01,2.705443e+01,2.659910e+01,2.546572e+01,2.489977e+01
