frame,abstime,reltime,april15_microphoneBoardB_0.seq:Rectangle 1 [C]:max,april15_microphoneBoardB_0.seq:Polygon 1 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 2 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 3 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 4 [C]:max,april15_microphoneBoardB_0.seq:Rectangle 5 [C]:mean
80,2000-02-14 20:47:22.647000,12.642000,2.492853e+01,2.621592e+01,2.606765e+01,2.543859e+01,2.407975e+01,2.373827e+01
81,2000-02-14 20:47:22.807000,12.802000,2.492171e+01,2.626978e+01,2.614181e+01,2.559451e+01,2.401100e+01,2.375406e+01
82,2000-02-14 20:47:22.967000,12.962000,2.497624e+01,2.618224e+01,2.613507e+01,2.554708e+01,2.408663e+01,2.375932e+01
83,2000-02-14 20:47:23.127000,13.122000,2.491490e+01,2.622939e+01,2.604067e+01,2.569608e+01,2.419653e+01,2.376996e+01
84,2000-02-14 20:47:23.287000,13.282000,2.497624e+01,2.620918e+01,2.625632e+01,2.553353e+01,2.409350e+01,2.377773e+01
85,2000-02-14 20:47:23.447000,13.442000,2.497624e+01,2.626978e+01,2.610811e+01,2.548607e+01,2.420339e+01,2.378407e+01
86,2000-02-14 20:47:23.607000,13.602000,2.498987e+01,2.622265e+01,2.610137e+01,2.558097e+01,2.408663e+01,2.377616e+01
87,2000-02-14 20:47:23.767000,13.762000,2.512605e+01,2.624959e+01,2.612159e+01,2.557419e+01,2.416906e+01,2.379467e+01
88,2000-02-14 20:47:23.927000,13.922000,2.501712e+01,2.622939e+01,2.610137e+01,2.560806e+01,2.412785e+01,2.379653e+01
89,2000-02-14 20:47:24.087000,14.082000,2.505117e+01,2.624959e+01,2.610811e+01,2.566900e+01,2.413472e+01,2.380740e+01
90,2000-02-14 20:47:24.247000,14.242000,2.503755e+01,2.620918e+01,2.614855e+01,2.558774e+01,2.405913e+01,2.380388e+01
91,2000-02-14 20:47:24.407000,14.402000,2.505798e+01,2.636398e+01,2.626305e+01,2.558774e+01,2.412785e+01,2.381183e+01
92,2000-02-14 20:47:24.567000,14.562000,2.506479e+01,2.627651e+01,2.619571e+01,2.561483e+01,2.409350e+01,2.381954e+01
93,2000-02-14 20:47:24.727000,14.722000,2.506479e+01,2.629670e+01,2.623612e+01,2.558774e+01,2.410037e+01,2.382347e+01
94,2000-02-14 20:47:24.887000,14.882000,2.514646e+01,2.628997e+01,2.620245e+01,2.560806e+01,2.413472e+01,2.383393e+01
95,2000-02-14 20:47:25.047000,15.042000,2.501712e+01,2.625632e+01,2.624285e+01,2.556741e+01,2.413472e+01,2.383644e+01
96,2000-02-14 20:47:25.208000,15.203000,2.509883e+01,2.632362e+01,2.618224e+01,2.563515e+01,2.421026e+01,2.384043e+01
97,2000-02-14 20:47:25.368000,15.363000,2.512605e+01,2.631016e+01,2.630343e+01,2.569608e+01,2.421712e+01,2.387087e+01
98,2000-02-14 20:47:25.528000,15.523000,2.510563e+01,2.633707e+01,2.626305e+01,2.572315e+01,2.413472e+01,2.390399e+01
99,2000-02-14 20:47:25.688000,15.683000,2.520087e+01,2.640432e+01,2.636398e+01,2.572991e+01,2.420339e+01,2.391047e+01
100,2000-02-14 20:47:25.848000,15.843000,2.521447e+01,2.640432e+01,2.635725e+01,2.576373e+01,2.421026e+01,2.391052e+01
101,2000-02-14 20:47:26.008000,16.003000,2.518047e+01,2.635725e+01,2.639087e+01,2.581783e+01,2.420339e+01,2.391531e+01
102,2000-02-14 20:47:26.168000,16.163000,2.524166e+01,2.637070e+01,2.633707e+01,2.568931e+01,2.425830e+01,2.391574e+01
103,2000-02-14 20:47:26.328000,16.323000,2.524166e+01,2.640432e+01,2.636398e+01,2.569608e+01,2.423771e+01,2.393051e+01
104,2000-02-14 20:47:26.488000,16.483000,2.526205e+01,2.640432e+01,2.632362e+01,2.578402e+01,2.422398e+01,2.393757e+01
105,2000-02-14 20:47:26.648000,16.643000,2.535715e+01,2.639087e+01,2.629670e+01,2.581107e+01,2.423085e+01,2.393945e+01
106,2000-02-14 20:47:26.808000,16.803000,2.523486e+01,2.643793e+01,2.649840e+01,2.577726e+01,2.424457e+01,2.395398e+01
107,2000-02-14 20:47:26.968000,16.963000,2.528243e+01,2.642449e+01,2.636398e+01,2.590567e+01,2.434060e+01,2.394947e+01
108,2000-02-14 20:47:27.128000,17.123000,2.530961e+01,2.642449e+01,2.639087e+01,2.575697e+01,2.421712e+01,2.395548e+01
109,2000-02-14 20:47:27.288000,17.283000,2.530961e+01,2.651855e+01,2.647824e+01,2.580431e+01,2.419653e+01,2.396535e+01
110,2000-02-14 20:47:27.448000,17.443000,2.526884e+01,2.643121e+01,2.639087e+01,2.590567e+01,2.421026e+01,2.395509e+01
111,2000-02-14 20:47:27.608000,17.603000,2.524166e+01,2.644465e+01,2.635052e+01,2.585838e+01,2.426516e+01,2.395229e+01
112,2000-02-14 20:47:27.768000,17.763000,2.535715e+01,2.658568e+01,2.637070e+01,2.574344e+01,2.422398e+01,2.395361e+01
113,2000-02-14 20:47:27.928000,17.923000,2.530961e+01,2.647824e+01,2.632362e+01,2.576373e+01,2.426516e+01,2.395747e+01
114,2000-02-14 20:47:28.088000,18.083000,2.537072e+01,2.648496e+01,2.639087e+01,2.581107e+01,2.432689e+01,2.396282e+01
115,2000-02-14 20:47:28.248000,18.243000,2.527564e+01,2.647153e+01,2.637743e+01,2.586514e+01,2.427202e+01,2.396503e+01
116,2000-02-14 20:47:28.408000,18.403000,2.530282e+01,2.646481e+01,2.643121e+01,2.596644e+01,2.423085e+01,2.396898e+01
117,2000-02-14 20:47:28.568000,18.563000,2.530282e+01,2.648496e+01,2.641104e+01,2.580431e+01,2.429259e+01,2.399999e+01
118,2000-02-14 20:47:28.728000,18.723000,2.537072e+01,2.655883e+01,2.641104e+01,2.582459e+01,2.429259e+01,2.401293e+01
119,2000-02-14 20:47:28.888000,18.883000,2.543859e+01,2.651855e+01,2.641104e+01,2.586514e+01,2.432689e+01,2.402215e+01
120,2000-02-14 20:47:29.048000,19.043000,2.538430e+01,2.648496e+01,2.638415e+01,2.583811e+01,2.427888e+01,2.402564e+01
121,2000-02-14 20:47:29.208000,19.203000,2.543180e+01,2.651855e+01,2.646481e+01,2.585162e+01,2.437487e+01,2.403351e+01
