frame,abstime,reltime,april10_baselineBoardE_1.seq:Rectangle 1 [C]:max,april10_baselineBoardE_1.seq:Polygon 1 [C]:max,april10_baselineBoardE_1.seq:Rectangle 2 [C]:max,april10_baselineBoardE_1.seq:Rectangle 3 [C]:max,april10_baselineBoardE_1.seq:Rectangle 4 [C]:max,april10_baselineBoardE_1.seq:Rectangle 5 [C]:mean
132,2000-02-10 08:07:46.304000,20.960000,2.635052e+01,2.758100e+01,2.732804e+01,2.673993e+01,2.530961e+01,2.500463e+01
133,2000-02-10 08:07:46.464000,21.120000,2.633035e+01,2.754775e+01,2.734803e+01,2.680692e+01,2.528923e+01,2.501598e+01
134,2000-02-10 08:07:46.624000,21.280000,2.649168e+01,2.756770e+01,2.728804e+01,2.680022e+01,2.533677e+01,2.501599e+01
135,2000-02-10 08:07:46.784000,21.440000,2.641104e+01,2.761424e+01,2.732804e+01,2.677343e+01,2.541145e+01,2.502379e+01
136,2000-02-10 08:07:46.944000,21.600000,2.641776e+01,2.755440e+01,2.739466e+01,2.688726e+01,2.536394e+01,2.504105e+01
137,2000-02-10 08:07:47.104000,21.760000,2.641104e+01,2.758765e+01,2.732804e+01,2.682701e+01,2.533677e+01,2.504913e+01
138,2000-02-10 08:07:47.264000,21.920000,2.640432e+01,2.762088e+01,2.734803e+01,2.688726e+01,2.534357e+01,2.504940e+01
139,2000-02-10 08:07:47.424000,22.080000,2.643121e+01,2.765411e+01,2.746790e+01,2.687387e+01,2.539788e+01,2.505678e+01
140,2000-02-10 08:07:47.584000,22.240000,2.643121e+01,2.761424e+01,2.739466e+01,2.691402e+01,2.543859e+01,2.506739e+01
141,2000-02-10 08:07:47.744000,22.400000,2.641104e+01,2.757435e+01,2.740132e+01,2.686718e+01,2.535715e+01,2.507186e+01
142,2000-02-10 08:07:47.904000,22.560000,2.643793e+01,2.763418e+01,2.741464e+01,2.701433e+01,2.541823e+01,2.508057e+01
143,2000-02-10 08:07:48.064000,22.720000,2.645809e+01,2.766076e+01,2.740132e+01,2.701433e+01,2.551319e+01,2.509129e+01
144,2000-02-10 08:07:48.224000,22.880000,2.648496e+01,2.762088e+01,2.741464e+01,2.696085e+01,2.541145e+01,2.509398e+01
145,2000-02-10 08:07:48.384000,23.040000,2.655212e+01,2.761424e+01,2.746125e+01,2.686049e+01,2.544537e+01,2.510027e+01
146,2000-02-10 08:07:48.545000,23.201000,2.643793e+01,2.770061e+01,2.746125e+01,2.704775e+01,2.549963e+01,2.511144e+01
