Board Type,Board Instance,Component,Trial,a_rise,b_rise,c_rise,a_fall,b_fall,c_fall
baseline,C,buck,3,4.815618793743269,0.01827036154695924,5.97823797768933,-4.5703604274047915,0.018388480786386916,0.07200013465148235
baseline,C,usbesd,3,3.8378880566773956,0.013081487903118165,4.271546987816621,-3.556505651205384,0.014341420455310661,0.01990984447107236
baseline,C,fullboard,3,3.8933504503067935,0.01479670655804558,4.125132982017038,-3.67676196028601,0.015231365001272396,-0.002443884960797982
baseline,C,samd,4,4.148483632320419,0.0200015364717127,4.977514347693912,-4.28166399544174,0.021184480936078193,-0.0890903436082196
baseline,C,atmega,4,4.624796485280163,0.023152072554475964,6.0262845067151325,-4.386702338250904,0.027070531618692235,0.026618242131105793
baseline,C,3v3reg,4,4.275351052983444,0.022164103983749614,5.718566802244099,-4.367257065634408,0.022441117647554916,-0.07072885969559223
baseline,C,buck,4,4.218103173243915,0.02198868779331422,5.338294034290237,-4.2378353979925105,0.023448404329949615,0.035558808873797844
baseline,C,usbesd,4,3.1676678971867585,0.014989006536564676,3.598848925671499,-3.350389128569631,0.016355287233911636,-0.18740368311270678
baseline,C,fullboard,4,3.2066780689121295,0.01724930542328731,3.4449956031175737,-3.3912292062555642,0.01822481885656638,-0.11652869975601288
baseline,D,samd,0,4.288735390646794,0.01641420292215184,4.935170899632164,-4.009869267643126,0.021440758024132128,-0.10102817516796196
baseline,D,atmega,0,4.832340337184183,0.020180056764757894,6.646069766830752,-4.64498653380439,0.022071258926848632,0.31201821429849586
baseline,D,3v3reg,0,4.836059618714311,0.020465853910349958,6.402719706731321,-4.578814474078449,0.020302971604943036,0.24218772322582913
baseline,D,buck,0,4.591270722410088,0.019374320442764322,5.811509071694015,-4.358369060526476,0.019493690089693535,0.21771353128532098
baseline,D,usbesd,0,3.6794150086580477,0.01424397392659504,4.166686461320616,-3.42979713474509,0.013453470970890165,-0.012386113459433374
baseline,D,fullboard,0,3.6974733725227953,0.016281982286919634,4.011142005813004,-3.5944623939387563,0.01535112616233525,0.05316017114624396
baseline,D,samd,1,4.604671336402038,0.018356599103098975,5.07535978495439,-4.090420291511519,0.021185107488379436,0.12442567257709473
baseline,D,atmega,1,4.826646994806664,0.019517845274543456,6.693021802591329,-4.732277033602444,0.018261092590052968,0.1192365486831699
baseline,D,3v3reg,1,4.738029916826427,0.020520174783260743,6.2390137616241725,-4.54134951967454,0.019324704460985543,0.07105621451474341
baseline,D,buck,1,4.603636073262806,0.020603602963055856,5.619686909680384,-4.410560878100017,0.018884004596021162,0.12287119715608505
baseline,D,usbesd,1,3.5594757837484288,0.015482100896607837,3.932375767842889,-3.4691078539259386,0.014259312616189408,0.0003415455702896867
baseline,D,fullboard,1,3.666362120149322,0.01660253288463053,3.900956120349863,-3.6570102963667597,0.015296638109233922,0.016905776627908695
baseline,D,samd,2,4.511054374450651,0.01816964999183256,4.997928881369775,-3.548377476550636,0.019751223455529963,0.42238829656536664
baseline,D,atmega,2,4.765773249189978,0.021847371761737015,6.513102186900533,-4.616047024201527,0.0197580043601744,0.1399035868160117
baseline,D,3v3reg,2,4.718481753167973,0.020559157009505235,6.175699469837753,-4.491789495998809,0.020185047845201046,0.13431796893133333
